Irradiances,Clear Sky,Clear Sky,Clear Sky,Total,Clearness,Net,PV,Solar,Sun,Sun,Vector,,vCumulativeRadiationArray,,,
,Direct,Diffuse,Reflected,Clear Sky,Index,Radiation,Output,Angle,Elevation,Azimuth,Dot Product,,Column 1,Column 2,Column 3,Column 4
Minute,,,,,,,,,,,,,,,,
37,0,0,0,0,0.23,0,0,168.83592416227052,-59.198046782317874,168.9840565602546,-0.9810767464735006,,0,0,,2.8184467593385585
38,0,0,0,0,0.27,0,0,168.7112447457166,-59.16905038172042,168.53851418015165,-0.98065309562747,,0,0,,2.8243568826636976
39,0,0,0,0,0.27,0,0,168.58300726545946,-59.13892098421294,168.09364309409153,-0.9802125104613928,,0,0,,2.8302670059888366
40,0,0,0,0,0.27,0,0,168.45133048755218,-59.10766214315314,167.64946690013952,-0.9797549993633758,,0,0,,2.8361771293139757
41,0,0,0,0,0.27,0,0,168.31633094162717,-59.07527753078383,167.20600888851249,-0.9792805710437705,,0,0,,2.8420872526391148
42,0,0,0,0,0.27,0,0,168.1781227120766,-59.04177093630131,166.7632920332317,-0.9787892345350085,,0,0,,2.847997375964254
43,0,0,0,0,0.25,0,0,168.03681726448661,-59.007146263877075,166.3213389841029,-0.9782809991914287,,0,0,,2.854407499289393
44,0,0,0,0,0.26,0,0,167.89252330472786,-58.97140753063435,165.88017205902747,-0.9777558746890991,,0,0,,2.860567622614532
45,0,0,0,0,0.26,0,0,167.7453466680344,-58.9345588645825,165.4398132366515,-0.9772138710256335,,0,0,,2.866727745939671
46,0,0,0,0,0.26,0,0,167.59539023539185,-58.89660450251143,165.00028414935304,-0.9766549985200005,,0,0,,2.87288786926481
47,0,0,0,0,0.28,0,0,167.44275387459382,-58.85754878784836,164.5616060765747,-0.9760792678123267,,0,0,,2.878547992589949
48,0,0,0,0,0.28,0,0,167.28753440340031,-58.8173961684794,164.12379993850072,-0.9754866898636951,,0,0,,2.8842081159150883
49,0,0,0,0,0.28,0,0,167.1298255723396,-58.77615119453842,163.6868862900823,-0.9748772759559355,,0,0,,2.8898682392402275
50,0,0,0,0,0.27,0,0,166.9697180648224,-58.73381851616573,163.25088531541252,-0.9742510376914106,,0,0,,2.8957783625653666
51,0,0,0,0,0.27,0,0,166.80729951238024,-58.690402881238676,162.8158168224507,-0.9736079869927938,,0,0,,2.9016884858905057
52,0,0,0,0,0.31,0,0,166.6426545229951,-58.64590913307717,162.38170023809798,-0.9729481361028438,,0,0,,2.906598609215645
53,0,0,0,0,0.32,0,0,166.4758647206426,-58.600342208125646,161.94855460362194,-0.9722714975841703,,0,0,,2.911258732540784
54,0,0,0,0,0.26,0,0,166.30700879433186,-58.553707133615,161.51639857043125,-0.9715780843189951,,0,0,,2.917418855865923
55,0,0,0,0,0.24,0,0,166.13616255508194,-58.5060090252058,161.085250396198,-0.9708679095089076,,0,0,,2.924078979191062
56,0,0,0,0,0.22,0,0,165.96339899942214,-58.45725308461602,160.6551279413261,-0.9701409866746123,,0,0,,2.9312391025162015
57,0,0,0,0,0.22,0,0,165.78878837815557,-58.407444597234935,160.2260486657629,-0.9693973296556722,,0,0,,2.9383992258413407
58,0,0,0,0,0.2,0,0,165.61239826925686,-58.356588929725966,159.79802962615292,-0.968636952610245,,0,0,,2.9460593491664797
59,0,0,0,0,0.2,0,0,165.4342936539051,-58.30469152762056,159.37108747332755,-0.9678598700148133,,0,0,,2.9537194724916187
60,0,0,0,0,0.19,0,0,165.25453699477413,-58.25175791290545,158.9452384501302,-0.9670660966639099,,0,0,,2.961629595816758
