,Appliance category,Appliance type,,,Proportion,Appliance demand configuration for UK,,,,,,,,,,,,,,,,,,,,,,,,,,,Databases of appliance ownership to draw from,,,,,,,,,,,,,,"Databases of annual energy demand to draw from, kWh/y per appliance",,,,,,,,"Databases of operating loads, Watts per appliance",,,,,,,,"Databases of standby loads, Watts per appliance",,,,,,,
,,,,,of dwellings,,,,,,,,,,,,,,,,,,,Time appliance,Time appliance,Time when,Time when ,Average tme ,Probability of ,Overall average demand,Appliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,with,Associated,Average,Total number,Average number,Probability of ,Active occupancy,Active,Number of minutes,Probability of,,,,Delay start,,,,,Target number,spent running,spent in delayed,appliance is,appliance could,between switch,switch on event,per dwelling taking,mean,Heat gains ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,appliance,activity use,activity,of minutes,of minutes activity,activity occurring,dependent?,occupancy-dependent,in which appliance,activity occurring ,Mean cycle,Mean cycle ,Mean cycle,after cycle,Standby,Standby losses,Target demand,Target demand,of cycles,in period,restart mode,available to ,be switched on,on events,,ownership into,power,(for casual,UK,India,,,,,,India,,,,,,Appliance,UK,India,,,,,,,UK,India,,,,,,,UK,India,,,,,,
,,UK Appliance Names,Indian Database Equivalent,Short name,,profile,probability,in period,performed in period,,,probability,can operate,given active,power,demand,length,has finished,Power,for period,for period,for cycles only,in period,,,switch on,due to activity occurring,,,account,factor,thermal gains),Urban/Rural,Urban,,,,,,Rural,,,,,,no,Urban/Rural,Urban/Rural,,,,,,,Urban/Rural,Urban/Rural,,,,,,,Urban/Rural,Urban/Rural,,,,,,
,,,,,,,,(minutes/year),(minutes/year),,,multiplier,(min),occupancy,(W),(kWh),(min),(min),(W),,(kWh/y),(kWh/y),(cycles/y),(min),(min),(min),(min),(min),,(kWh/y),,,Any year,2006,2011.0,2016.0,2021.0,2026.0,2031.0,2006,2011.0,2016.0,2021.0,2026.0,2031.0,,Any year,2006,2011.0,2016.0,2021.0,2026.0,2031.0,,Any year,2006,2011.0,2016.0,2021.0,2026.0,2031.0,,Any year,2006,2011.0,2016.0,2021.0,2026.0,2031.0,
,Consumer Electronics + ICT,Answer machine,,ANSWER_MACHINE,0.9,ACTIVE_OCC,0.47196350983623836,525600,248064.0207699269,0.47196350983623836,YES,0.47196350983623836,248064.0207699269,1,0,0,0,0,1,8.76,8.76,0,0,0,0,248064.0207699269,248064.0207699269,0,1,7.884,1,1,0.9,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5,8.76,8.76,8.76,8.76,8.76,8.76,8.76,,0,0,0.0,0.0,0.0,0.0,0.0,,1,1,1.0,1.0,1.0,1.0,1.0,5.0
,,Cassette / CD Player,CD Player,CD_PLAYER,0.9,ACTIVE_OCC,0.47196350983623836,525600,248064.0207699269,0.47196350983623836,YES,0.47196350983623836,248064.0207699269,1,15,0.015,60,0,2,17.52,33.285917155258325,15.765917155258325,1212.7628580967942,72765.77148580765,0,175298.24928411923,175298.24928411923,144.54453986100566,0.0069182827726429665,29.957325439732493,1,1,0.9,0.28896612890737944,0.37361097833749546,0.4702938592410631,0.5533623507097023,0.6239387512359964,0.6508999302448538,0.1141174508792852,0.17413509270154018,0.24808017256690126,0.3158087423138777,0.35514620059403096,0.37464214279508096,6,33.285917155258325,65.9325,63.315,59.857526427061316,58.00184782608695,56.58389328063242,56.308075157773956,,15,35,35.0,34.02652955899214,33.44560606142005,33.103823900077465,32.942459348467835,,2,1.6999999999999997,1.4000000000000001,1.1666238705940162,1.0511476190732016,0.9458235400022134,0.9412131242419383,6.0
,,Clock,,CLOCK,0.9,LEVEL,1,525600,525600,1,NO,1,525600,1,0,0,0,0,2,17.52,17.52,0,0,0,0,525600,525600,0,1,15.768,1,1,0.9,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,7,17.52,17.52,17.52,17.52,17.52,17.52,17.52,,0,0,0.0,0.0,0.0,0.0,0.0,,2,2,2.0,2.0,2.0,2.0,2.0,7.0
,,Cordless telephone,,PHONE,0.9,ACTIVE_OCC,0.47196350983623836,525600,248064.0207699269,0.47196350983623836,YES,0.47196350983623836,248064.0207699269,1,0,0,0,0,1,8.76,8.76,0,0,0,0,248064.0207699269,248064.0207699269,0,1,7.884,1,1,0.9,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,8,8.76,8.76,8.76,8.76,8.76,8.76,8.76,,0,0,0.0,0.0,0.0,0.0,0.0,,1,1,1.0,1.0,1.0,1.0,1.0,8.0
,,Hi-Fi,Radio,HIFI,0.9,ACTIVE_OCC,0.47196350983623836,525600,248064.0207699269,0.47196350983623836,YES,0.47196350983623836,248064.0207699269,1,100,0.1,60,0,9,78.84,88.79772459498567,9.957724594985663,109.42554499984244,6565.5326999905465,0,241498.48806993634,241498.48806993634,2206.96628077369,0.00045311068352590905,79.9179521354871,1,1,0.9,0.30903322119261417,0.3564202891501873,0.40846643378049236,0.45062080676685856,0.4929783448936817,0.5087238362664557,0.1742112149061428,0.23860916183470535,0.3088134928218688,0.3657754096845834,0.3952731089728371,0.4106737741415371,9,88.79772459498567,38.963300000000004,35.463699999999996,32.5274593220339,31.084614035087714,30.891486187845302,30.867169014084503,,100,11,11.0,10.612894163605304,10.412337598159654,10.347646032653197,10.3395005680724,,9,1.7000000000000002,1.3,1.0612894163605304,0.9465761452872413,0.9406950938775633,0.939954597097491,9.0
,,Iron,,IRON,0.9,ACT_IRON,0.008414508554744604,525600,4422.665696373764,0.008414508554744604,YES,0.47196350983623836,248064.0207699269,0.017828726965913668,1000,0.5,30,0,0,0,17.7297346053873,17.7297346053873,35.4594692107746,1063.784076323238,0,247000.23669360366,4403.69978052631,124.18967002439551,0.008052199509053873,15.95676114484857,1,1,0.9,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10,17.7297346053873,17.72973460538734,17.72973460538734,17.72973460538734,17.72973460538734,17.72973460538734,17.72973460538734,,1000,1000.0000000000023,1000.0000000000023,1000.0000000000023,1000.0000000000023,1000.0000000000023,1000.0000000000023,,0,0,0.0,0.0,0.0,0.0,0.0,10.0
,,Vacuum,,VACUUM,0.937,ACT_HOUSECLEAN,0.03107956976542231,525600,16335.421868705966,0.03107956976542231,YES,0.47196350983623836,248064.0207699269,0.06585163708144785,2000,0.6666666666666666,20,0,0,0,73.57839861235746,73.57839861235746,110.3675979185362,2207.351958370724,0,245856.66881155618,16190.064128632317,146.6921853330759,0.006816995722910685,68.94295949977895,1,0.7,0.937,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,11,73.57839861235746,73.57839861235746,73.57839861235746,73.57839861235746,73.57839861235746,73.57839861235746,73.57839861235746,,2000,2000,2000.0,2000.0,2000.0,2000.0,2000.0,,0,0,0.0,0.0,0.0,0.0,0.0,11.0
,,Fax,,FAX,0.2,ACTIVE_OCC,0.47196350983623836,525600,248064.0207699269,0.47196350983623836,YES,0.47196350983623836,248064.0207699269,1,37,0.019116666666666667,31,0,3,26.28,29.74280436865415,3.4628043686541474,197.12358834843343,6110.8312388014365,0,241953.18953112545,241953.18953112545,1227.4187557069615,0.0008147178746865619,5.94856087373083,0.9,1,0.2,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,12,29.74280436865415,29.74280436865415,29.74280436865415,29.74280436865415,29.74280436865415,29.74280436865415,29.74280436865415,,37,37,37.0,37.0,37.0,37.0,37.0,,3,3,3.0,3.0,3.0,3.0,3.0,12.0
,,Personal computer,Computer,PC,0.708,ACTIVE_OCC,0.47196350983623836,525600,248064.0207699269,0.47196350983623836,YES,0.47196350983623836,248064.0207699269,1,140.7,0.7035,300,0,5,43.8,348.6079726705239,304.8079726705239,449.2379847760117,134771.3954328035,0,113292.6253371234,113292.6253371234,252.18843725694896,0.003965288856527245,246.8144446507309,0.9,1,0.708,0.020067092285234685,0.035527424320436686,0.060813861108758166,0.09913657748870888,0.14430668979121308,0.17920111845193926,0.0006070077174430064,0.0016531812598247484,0.003088134928218688,0.006306472580768679,0.009224576638805998,0.011721133088606242,13,348.6079726705239,151.9272,94.3757,73.33670303030301,69.97853114754098,69.8141720207254,69.84171598513011,,140.7,116,71.0,55.01989292643218,52.500468821127406,52.3771605568448,52.39782505237974,,5,6.8,4.3,3.3527747252044606,3.199247318787451,3.1917332214327296,3.1929924641293903,13.0
,,Printer,,PRINTER,0.665,ACTIVE_OCC,0.47196350983623836,525600,248064.0207699269,0.47196350983623836,YES,0.47196350983623836,248064.0207699269,1,335.2,0.022346666666666667,4,0,4,35.04,49.49966115289103,14.45966115289103,654.8759580113691,2619.5038320454764,0,245444.51693788142,245444.51693788142,374.7954310053024,0.002668122173522047,32.91727466667253,0.9,1,0.665,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,14,49.49966115289103,49.49966115289103,49.49966115289103,49.49966115289103,49.49966115289103,49.49966115289103,49.49966115289103,,335.2,335.2,335.2,335.2,335.2,335.2,335.2,,4,4,4.0,4.0,4.0,4.0,4.0,14.0
,,TV 1,TV,TV1,0.977,ACT_TV,0.1505303894801248,525600,79118.77271075359,0.1505303894801248,YES,0.47196350983623836,248064.0207699269,0.31894497422556195,124,0.15086666666666668,73,0,3,26.28,241.84443874415882,215.56443874415882,1464.2665373768289,106891.4572285085,0,141172.5635414184,45026.2796400742,30.75005710417781,0.03252026481161027,236.28201665304317,0.9,1,0.977,0.6862945561550262,0.7667047377539401,0.8361905902454249,0.8814142980359753,0.9484202675873368,0.98930865393302,0.2792235500237829,0.40062092529753074,0.5321885859630205,0.634043051004974,0.6816962136077634,0.7041362173970119,15,241.84443874415882,162.7814,170.72560000000001,161.97402210866056,157.13007833698032,153.7350621414914,151.2533597025017,,124,77,92.0,97.18773312935457,99.30125163986605,99.63028329601603,99.37661950287499,,3,5.800000000000001,4.2,2.322184773887233,1.4074193145807787,0.9594027280357099,0.7149397086537769,15.0
,,TV 2,,TV2,0.58,ACT_TV,0.1505303894801248,525600,79118.77271075359,0.1505303894801248,YES,0.47196350983623836,248064.0207699269,0.31894497422556195,124,0.15086666666666668,73,0,3,26.28,241.84443874415888,215.56443874415888,1464.2665373768293,106891.45722850855,0,141172.56354141835,45026.27964007418,30.750057104177788,0.03252026481161029,140.26977447161215,0.9,1,0.58,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,16,241.84443874415888,162.7814,170.72560000000001,161.97402210866056,157.13007833698032,153.7350621414914,151.2533597025017,,124,83.46230206828567,87.53550220104579,83.04833820355526,80.56472092127505,78.82400688862379,77.55157282302073,,3,3,3.0,3.0,3.0,3.0,3.0,16.0
,,TV 3,,TV3,0.18,ACT_TV,0.1505303894801248,525600,79118.77271075359,0.1505303894801248,YES,0.47196350983623836,248064.0207699269,0.31894497422556195,124,0.15086666666666668,73,0,2,17.52,243.36071792403206,225.84071792403205,1521.495966252181,111069.20553640921,0,136994.81523351767,43693.80781368991,28.717662604994292,0.03482177549596568,43.80492922632577,0.9,1,0.18,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,17,243.36071792403206,162.7814,170.72560000000001,161.97402210866056,157.13007833698032,153.7350621414914,151.2533597025017,,124,82.94228325830693,86.99010497909717,82.5308986298422,80.06275573146428,78.33288736227233,77.06838130287295,,2,2,2.0,2.0,2.0,2.0,2.0,17.0
,,VCR / DVD,DVD / VCR,VCR_DVD,0.896,ACT_TV,0.1505303894801248,525600,79118.77271075359,0.1505303894801248,YES,0.47196350983623836,248064.0207699269,0.31894497422556195,33.55219735291432,0.04082184011271243,73,0,2,17.52,73.731,56.211,1464.2663837655311,106891.44601488377,0,141172.57475504314,45026.28321660345,30.750062772603663,0.032520258816867716,66.06297599999999,1,1,0.896,0.03612076611342243,0.0630325270201296,0.10946494999576471,0.17574211463907485,0.25524767096018036,0.31471270802509993,0.005463069456987058,0.01157226881877324,0.023675701116343272,0.03880906203549956,0.0502739426814927,0.05600096920111871,18,73.731,42.864,36.87,22.72679480519481,15.845175362318843,12.388072289156627,11.35736462093863,,33.55219735291432,40,35.0,22.090585930399307,15.400112121993237,12.03894294378681,11.03728340227272,,2,4.2,3.6,2.2090585930399307,1.5400112121993237,1.203894294378681,1.103728340227272,18.0
