Simulation results - daily sums,,,,,,,,,,,,,,,,
Dwelling index,Date,Mean active occupancy,Proportion of day actively occupied,Lighting demand,Appliance demand,PV output,Total dwelling electricity demand,Total self-consumption,Net dwelling electricity demand,Hot water demand (litres),Average indoor air temperature,Thermal energy used for space heating,Thermal energy used for hot water heating,Gas demand,Space thermostat set point,Solar thermal collector heat gains
,,,,Elight,Ea,Epv,Etotal,Eself,Enet,,θi,"Eh, space","Eh, water",mfuel,,
,,,,kWh,kWh,kWh,kWh,kWh,kWh,litres/day,°C,kWh,kWh,m3/day,°C,kWh
1,2015-01-01 00:00:00,0.6319444444444444,0.5833333333333334,1.4927,18.271966666666668,2.094836446354705,19.764666666666667,1.8419846225773362,17.669830220311965,45,19.159146417925054,68.98996626335331,1.1847069126116647,8.420960781115836,23,0
2,2015-01-01 00:00:00,0.3888888888888889,0.3888888888888889,4.812683333333333,7.136616666666667,2.094836446354705,11.949300000000001,0.9535941705343921,9.854463553645296,62,15.951585731444624,9.080035372299612,3.7473543553846747,1.5392867673221144,17,1.824988661484406
3,2015-01-01 00:00:00,0.3819444444444444,0.2916666666666667,1.0964666666666667,4.315533333333334,2.094836446354705,5.412000000000001,0.7970310489514818,3.3171635536452966,37,16.04385079235,29.395130615129204,3.0438957824197796,3.892683167705892,19,0
4,2015-01-01 00:00:00,1.2291666666666667,0.6527777777777778,2.7182833333333334,13.870616666666667,2.094836446354705,16.5889,1.674304451228317,14.494063553645299,202,20.692011262238122,8.859372498020065,9.108284572439485,2.1561188484551486,21,2.846461749319736
5,2015-01-01 00:00:00,1.7291666666666667,0.7638888888888888,5.11795,9.343366666666666,2.094836446354705,14.461316666666667,1.6267762147514742,12.366480220311965,106,17.431999085961884,8.633182887937457,0,1.0359819465524949,19,3.3381548928617883
