Simulation results - aggregated,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Occupancy (normalised),Activity (normalised),Total electricity demand,Total PV output,Total net electricity demand,Thermal demand for space heating,Thermal demand for hot water,Passive solar gains,Average internal building node temperature,Hot water demand (litres),Average hot water temperature in hot water tank,Space heating timer state (normalised),Space heating thermostat state (normalised),Hot water timer state (normalised),Hot water thermostat state (normalised),Fuel flow rate (gas),Solar thermal collector gains,Self-consumption,Average hot water demand,Average gas demand,Space cooling timer state (normalised),Space cooling thermostat state (normalised),Average heating thermostat set point,Average cooling thermostat set point,Electricity used in heating or cooling
,,,,Pe,Ppv,Pnet,φspace,φwater,φs,θi,,θcyl,,,,,mfuel,,Pself,,,,,,,
,,,,kW,kW,kW,kW,kW,W,°C,ltr.min-1,°C,,,,,m3/h,kW,kW,ltr.min-1,m3/h,,,°C,°C,kW
,0.25833333333333336,0.8666666666666667,0.26666666666666666,0.684,0,0.684,0,0.07156447415437617,0,16.130409548615766,0,57.795425397536306,0.4,1,0.2,0.2,0.008587736898525142,0,0,0,0.0017175473797050283,0,0,,,
,0.2590277777777778,0.8666666666666667,0.26666666666666666,0.684,0,0.684,0,0.0715926572077694,0,16.21038986554776,0,57.78991922698409,0.4,1,0.2,0.2,0.008591118864932329,0,0,0,0.0017182237729864657,0,0,,,
,0.25972222222222224,0.8666666666666667,0.26666666666666666,0.724,0,0.724,0,0.07162022382821015,0,16.28035948936046,2,57.639343412840006,0.4,1,0.2,0.2,0.008594426859385218,0,0,0.4,0.0017188853718770436,0,0,,,
,0.2604166666666667,0.8666666666666667,0.26666666666666666,0.724,0,0.724,0,0.07164720722847313,0,16.339996545441277,0,57.6338909517612,0.4,1,0.2,0.2,0.008597664867416777,0,0,0,0.0017195329734833553,0,0,,,
,0.2611111111111111,0.8666666666666667,0.26666666666666666,0.724,0,0.724,0,0.07167363731834679,0,16.390290746913216,0,57.62845025300169,0.4,1,0.2,0.2,0.008600836478201616,0,0,0,0.0017201672956403233,0,0,,,
,0.26180555555555557,0.8666666666666667,0.26666666666666666,0.824,0,0.824,0,0.07169954386472671,0,16.434519106759485,0,57.623019700946124,0.4,1,0.2,0.2,0.008603945263767206,0,0,0,0.0017207890527534413,0,0,,,
,0.2625,0.8666666666666667,0.26666666666666666,0.824,0,0.824,0,0.07172495350516588,0,16.470903401668835,0,57.61759824263866,0.4,1,0.2,0.2,0.008606994420619905,0,0,0,0.001721398884123981,0,0,,,
,0.26319444444444445,0.8666666666666667,0.26666666666666666,0.863,0,0.863,0,0.07174989142127282,0,16.49867060881022,0,57.612184521041264,0.4,1,0.2,0.2,0.008609986970552739,0,0,0,0.0017219973941105479,0,0,,,
,0.2638888888888889,0.8666666666666667,0.2,0.687,0,0.687,0,0.07177438139873496,0,16.51427706023168,3.54,57.354298224613764,0.4,1,0.2,0.2,0.008612925767848197,0,0,0.708,0.0017225851535696394,0,0,,,
,0.26458333333333334,0.8666666666666667,0.2,0.897,0,0.897,21.749999999999996,0.07179844540727912,0,16.529103689459753,2.46,57.17847947607197,0.4,1,0.4,0.2,2.6186158134488733,0,0,0.492,0.5237231626897747,0,0,,,
