Simulation results - aggregated,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Occupancy (normalised),Activity (normalised),Total electricity demand,Total PV output,Total net electricity demand,Thermal demand for space heating,Thermal demand for hot water,Passive solar gains,Average internal building node temperature,Hot water demand (litres),Average hot water temperature in hot water tank,Space heating timer state (normalised),Space heating thermostat state (normalised),Hot water timer state (normalised),Hot water thermostat state (normalised),Fuel flow rate (gas),Solar thermal collector gains,Self-consumption,Average hot water demand,Average gas demand,Space cooling timer state (normalised),Space cooling thermostat state (normalised),Average heating thermostat set point,Average cooling thermostat set point,Electricity used in heating or cooling
,,,,Pe,Ppv,Pnet,φspace,φwater,φs,θi,,θcyl,,,,,mfuel,,Pself,,,,,,,
,,,,kW,kW,kW,kW,kW,W,°C,ltr.min-1,°C,,,,,m3/h,kW,kW,ltr.min-1,m3/h,,,°C,°C,kW
,0,1,0,0.063,0,0.063,0,0,0,20.65179308892136,0,60.39602464906829,1,1,0,0,0,0,0,0,0,0,0,,,
,0.0006944444444444445,1,0,0.063,0,0.063,0,0,0,20.52675388878277,0,60.3892113522294,1,1,0,0,0,0,0,0,0,0,0,,,
,0.001388888888888889,1,0,0.063,0,0.063,0,0,0,20.405347715313887,0,60.38237778809281,1,1,0,0,0,0,0,0,0,0,0,,,
,0.0020833333333333333,1,0,0.063,0,0.063,0,0,0,20.28744756002097,0,60.37552458293748,0,1,0,0,0,0,0,0,0,0,0,,,
,0.002777777777777778,1,0,0.063,0,0.063,0,0,0,20.172916453061426,0,60.368652341162125,0,1,0,0,0,0,0,0,0,0,0,,,
,0.003472222222222222,1,0,0.063,0,0.063,0,0,0,20.061623694523018,0,60.36176164358131,0,0,0,0,0,0,0,0,0,0,0,,,
,0.004166666666666667,1,0,0.063,0,0.063,0,0,0,19.953444387385584,0,60.35485304850433,0,0,0,0,0,0,0,0,0,0,0,,,
,0.004861111111111111,1,0,0.063,0,0.063,0,0,0,19.848259166693648,0,60.347927092733855,0,0,0,0,0,0,0,0,0,0,0,,,
,0.005555555555555556,1,0,0.063,0,0.063,0,0,0,19.74595393982323,0,60.34098429251796,0,0,0,0,0,0,0,0,0,0,0,,,
,0.00625,1,0,0.063,0,0.063,0,0,0,19.646440330031233,0,60.3340251444575,0,0,0,0,0,0,0,0,0,0,0,,,
,0.006944444444444444,1,0,0.063,0,0.063,0,0,0,19.549605929709823,0,60.327050129917886,0,0,0,0,0,0,0,0,0,0,0,,,
,0.007638888888888889,1,0,0.063,0,0.063,0,0,0,19.4553495329377,0,60.32005971091213,0,0,0,0,0,0,0,0,0,0,0,,,
,0.008333333333333333,1,0,0.063,0,0.063,0,0,0,19.36357182896917,0,60.31305433202448,0,0,0,0,0,0,0,0,0,0,0,,,
,0.009027777777777777,1,0,0.063,0,0.063,0,0,0,19.27418266966299,0,60.30603442073824,0,0,0,0,0,0,0,0,0,0,0,,,
,0.009722222222222222,1,0,0.063,0,0.063,0,0,0,19.18711647065323,0,60.299000389009485,0,0,0,0,0,0,0,0,0,0,0,,,
,0.010416666666666666,1,0,0.063,0,0.063,0,0,0,19.102287440941538,0,60.29195263748063,0,0,0,0,0,0,0,0,0,0,0,,,
,0.011111111111111112,1,0,0.063,0,0.063,0,0,0,19.0196149331259,0,60.284891552018365,0,0,0,0,0,0,0,0,0,0,0,,,
,0.011805555555555555,1,0,0.063,0,0.063,0,0,0,18.939019308148143,0,60.277817504597984,0,0,0,0,0,0,0,0,0,0,0,,,
,0.0125,1,0,0.063,0,0.063,0,0,0,18.86042067185435,0,60.27073085347859,0,0,0,0,0,0,0,0,0,0,0,,,
,0.013194444444444444,1,0,0.063,0,0.063,0,0,0,18.783748574470366,0,60.26363194316174,0,0,0,0,0,0,0,0,0,0,0,,,
,0.013888888888888888,1,0,0.063,0,0.063,0,0,0,18.70894522524195,0,60.25652110601282,0,0,0,0,0,0,0,0,0,0,0,,,
,0.014583333333333334,1,0,0.063,0,0.063,0,0,0,18.6359443439693,0,60.24939866443326,0,0,0,0,0,0,0,0,0,0,0,,,
,0.015277777777777777,1,0,0.063,0,0.063,0,0,0,18.564683759438388,0,60.24226492940689,0,0,0,0,0,0,0,0,0,0,0,,,
,0.01597222222222222,1,0,0.063,0,0.063,0,0,0,18.495103890853443,0,60.23512020120633,0,0,0,0,0,0,0,0,0,0,0,,,
,0.016666666666666666,1,0,0.063,0,0.063,0,0,0,18.42712695256998,0,60.22796476983884,0,0,0,0,0,0,0,0,0,0,0,,,
,0.017361111111111112,1,0,0.063,0,0.063,0,0,0,18.36069904865814,0,60.22079891192731,0,0,0,0,0,0,0,0,0,0,0,,,
,0.018055555555555554,1,0,0.063,0,0.063,0,0,0,18.295770721969667,0,60.21362289480789,0,0,0,0,0,0,0,0,0,0,0,,,
,0.01875,1,0,0.063,0,0.063,0,0,0,18.232295775142056,0,60.20643697729255,0,0,0,0,0,0,0,0,0,0,0,,,
,0.019444444444444445,1,0,0.063,0,0.063,0,0,0,18.170226283879753,0,60.19924141022932,0,0,0,0,0,0,0,0,0,0,0,,,
,0.02013888888888889,1,0,0.063,0,0.063,0,0,0,18.109517536067397,0,60.19203643620766,0,0,0,0,0,0,0,0,0,0,0,,,
,0.020833333333333332,1,0,0.063,0,0.063,0,0,0,18.050124201392002,0,60.18482229011049,0,0,0,0,0,0,0,0,0,0,0,,,
,0.021527777777777778,1,0,0.063,0,0.063,0,0,0,17.992002793983747,0,60.17759919900956,0,0,0,0,0,0,0,0,0,0,0,,,
,0.022222222222222223,1,0,0.063,0,0.063,0,0,0,17.935112779707268,0,60.170367382482986,0,0,0,0,0,0,0,0,0,0,0,,,
,0.022916666666666665,1,0,0.063,0,0.063,0,0,0,17.879415232593246,0,60.16312705312251,0,0,0,0,0,0,0,0,0,0,0,,,
,0.02361111111111111,1,0,0.063,0,0.063,0,0,0,17.824888598010485,0,60.15587841681042,0,0,0,0,0,0,0,0,0,0,0,,,
,0.024305555555555556,1,0,0.063,0,0.063,0,0,0,17.77149634568129,0,60.14862167569862,0,1,0,0,0,0,0,0,0,0,0,,,
,0.025,1,0,0.063,0,0.063,0,0,0,17.719201121854077,0,60.141357025642044,0,1,0,0,0,0,0,0,0,0,0,,,
