,Water fixture model configuration - probability distribution of hot water draw volume per event,,,,,,,
,"Data estimated from Clarke, A., Grant, N., Thornton, J., 2009 Quantifying the energy and carbon effects of water saving: Final Report for the Environment Agency and Energy Saving Trust. ",,,,,,,
,,,Tap volume (applies to basins and sinks),Shower volume,Bath volume,,,
,,,Litres,Litres,Litres,,,
,,lamba (mean),2.3,25.7,73.3,,,
,k (event volume),,Probability of occurrence,,,,,
,97,,1.2752061569079837e-118,4.159129029661737e-27,0.0012535960997242476,,,
,98,,2.9928307764166977e-120,1.0907103679827212e-27,0.0009376387154059936,,,
,99,,6.95304119773576e-122,2.8314400461773673e-28,0.0006942314933258519,,,
,100,,1.5991994754792248e-123,7.276800918675833e-29,0.0005088716846078492,,,
,101,,3.641741379804176e-125,1.851621619900682e-29,0.00036930984635401347,,,
,102,,8.21176977798981e-127,4.6653603560242694e-30,0.000265396193507345,,,
,103,,1.8336961640171414e-128,1.1640753509691624e-30,0.0001888693299426057,,,
,104,,4.055289593499445e-130,2.876609280760332e-31,0.00013311655658454797,,,
,105,,8.883015300046404e-132,7.040843668146718e-32,9.292803426330826e-05,,,
,106,,1.927446716047804e-133,1.707072474258214e-32,6.426061237264619e-05,,,
,107,,4.1431097634672463e-135,4.100164727891228e-33,4.402152230761653e-05,,,
,108,,8.823289311087647e-137,9.756873472852266e-34,2.9877570232854525e-05,,,
,109,,1.8617949922478512e-138,2.300473837177093e-34,2.009198071622235e-05,,,
,110,,3.892844074700057e-140,5.374743419586486e-35,1.338856533180999e-05,,,
,111,,8.066253488117224e-142,1.2444225755258787e-35,8.841277827222266e-06,,,
,112,,1.6564627698812152e-143,2.8555053741977756e-36,5.786300577994573e-06,,,
,113,,3.371561390023714e-145,6.494379479370165e-37,3.7534144457256846e-06,,,
,114,,6.802272979872409e-147,1.464083794910643e-37,2.4133796392253756e-06,,,
,115,,1.3604545959744817e-148,3.2719090025394376e-38,1.5382671961323484e-06,,,
,116,,2.697453078225263e-150,7.248970807350299e-39,9.720257368663882e-07,,,
,117,,5.302685538391545e-152,1.592295296999169e-39,6.089699701906521e-07,,,
,118,,1.033574299855979e-153,3.4679651807524282e-40,3.782838882624981e-07,,,
,119,,1.9976646131670177e-155,7.489639087843478e-41,2.330101597448833e-07,,,
,120,,3.8288571752367794e-157,1.604031037979809e-41,1.4233037257749936e-07,,,
,121,,7.27799297772281e-159,3.406908898849681e-42,8.622162239612161e-08,,,
,122,,1.3720806433411856e-160,7.176849073806297e-43,5.180364689865339e-08,,,
,123,,2.5656792517762e-162,1.49955301786034e-43,3.0871604208709705e-08,,,
,124,,4.758921192810693e-164,3.1079445612105427e-44,1.8249101520148556e-08,,,
,125,,8.756414994771676e-166,6.389934017848876e-45,1.0701273131415114e-08,,,
,126,,1.5983932133313367e-167,1.3033436845929843e-45,6.225423178831168e-09,,,
,127,,2.8947278666630496e-169,2.6374750152787158e-46,3.593098574868697e-09,,,
,128,,5.201464135410165e-171,5.295555304114295e-47,2.0576103557646527e-09,,,
,129,,9.273928303444488e-173,1.0550059791917637e-47,1.1691692951747997e-09,,,
,130,,1.6407719306094094e-174,2.0856656665560256e-48,6.592316102793294e-10,,,
,131,,2.8807446109936218e-176,4.09172577331984e-49,3.688677636143121e-10,,,
,132,,5.019479246428278e-178,7.966466088963623e-50,2.0483338691612924e-10,,,
,133,,8.680302456229355e-180,1.539384800649362e-50,1.1288937790189683e-10,,,
,134,,1.4899026603975736e-181,2.952402192290191e-51,6.175217462842556e-11,,,
,135,,2.53835268067735e-183,5.620498988285778e-52,3.352914370565628e-11,,,
,136,,4.292802327616104e-185,1.0621089999922382e-52,1.807122230606327e-11,,,
,137,,7.20689441862558e-187,1.9924234525401852e-53,9.66876346740466e-12,,,
,138,,1.2011490697709303e-188,3.710527734078462e-54,5.135654798266389e-12,,,
,139,,1.9875128492612493e-190,6.860472141425639e-55,2.7082265950570212e-12,,,
,140,,3.2651996809291956e-192,1.2593866716759924e-55,1.4179500672691406e-12,,,
,141,,5.326212245487339e-194,2.295477834189574e-56,7.371329073108366e-13,,,
,142,,8.626963496211887e-196,4.1544915731459194e-57,3.8050593032312896e-13,,,
,143,,1.3875535693207943e-197,7.466463876213305e-58,1.950425502984992e-13,,,
,144,,2.2162313954429316e-199,1.3325564001297336e-58,9.928207595055535e-14,,,
,145,,3.515401523806032e-201,2.361841343678219e-59,5.018880115293595e-14,,,
,146,,5.537961304625939e-203,4.157487844693851e-60,2.519752825006989e-14,,,
,147,,8.664837415401123e-205,7.268533170655231e-61,1.25644817736743e-14,,,
,148,,1.3465625713123382e-206,1.26217096274216e-61,6.222814283853562e-15,,,
,149,,2.0785865194754203e-208,2.177033137078758e-62,3.061290516821919e-15,,,
,150,,0,0,3.774758283725532e-15,,,
