Heating Controls Model,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Transition Probability Matrix,,,,,,,,,,,,,,,,
,,,,,,,Heating resulting,,,,,,,,Heating resulting,
,,Heating controls timer state @t+1,,,,,probability of 'on',,,Cooling controls timer state @t+1,,,,,probability of 'on',
Half hour period number,Heating controls timer state  @t,Weekdays,,Weekends,,,week,weekend,,Weekdays,,Weekends,,,week,weekend
,,0,1.0,0,1.0,,,,,0,1.0,0,1.0,,,
22,1,0.209,0.791,0.175,0.825,,0.4850119775750497,0.5700118459533456,,0.209,0.791,0.175,0.825,,0.48790237644800005,0.5729749358592
23,0,0.801,0.199,0.772,0.228,,0.49000718654502984,0.5700071075720073,,0.801,0.199,0.772,0.228,,0.4917414258688001,0.5717849615155199
23,1,0.201,0.799,0.172,0.828,,0.49000718654502984,0.5700071075720073,,0.201,0.799,0.172,0.828,,0.4917414258688001,0.5717849615155199
24,0,0.794,0.206,0.772,0.228,,0.5000043119270179,0.5700042645432044,,0.794,0.206,0.772,0.228,,0.5010448555212801,0.571070976909312
24,1,0.194,0.806,0.172,0.828,,0.5000043119270179,0.5700042645432044,,0.194,0.806,0.172,0.828,,0.5010448555212801,0.571070976909312
25,0,0.79,0.21,0.772,0.228,,0.5100025871562108,0.5700025587259226,,0.79,0.21,0.772,0.228,,0.5106269133127681,0.5706425861455872
25,1,0.19,0.81,0.172,0.828,,0.5100025871562108,0.5700025587259226,,0.19,0.81,0.172,0.828,,0.5106269133127681,0.5706425861455872
26,0,0.796,0.204,0.772,0.228,,0.5100015522937266,0.5700015352355535,,0.796,0.204,0.772,0.228,,0.5103761479876608,0.5703855516873523
26,1,0.196,0.804,0.172,0.828,,0.5100015522937266,0.5700015352355535,,0.196,0.804,0.172,0.828,,0.5103761479876608,0.5703855516873523
27,0,0.796,0.204,0.772,0.228,,0.5100009313762359,0.570000921141332,,0.796,0.204,0.772,0.228,,0.5102256887925966,0.5702313310124114
27,1,0.196,0.804,0.172,0.828,,0.5100009313762359,0.570000921141332,,0.196,0.804,0.172,0.828,,0.5102256887925966,0.5702313310124114
28,0,0.796,0.204,0.767,0.233,,0.5100005588257416,0.5750005526847992,,0.796,0.204,0.767,0.233,,0.510135413275558,0.5751387986074468
28,1,0.196,0.804,0.167,0.833,,0.5100005588257416,0.5750005526847992,,0.196,0.804,0.167,0.833,,0.510135413275558,0.5751387986074468
29,0,0.776,0.224,0.76,0.24,,0.5300003352954449,0.5850003316108795,,0.776,0.224,0.76,0.24,,0.5300812479653347,0.585083279164468
29,1,0.176,0.824,0.16,0.84,,0.5300003352954449,0.5850003316108795,,0.176,0.824,0.16,0.84,,0.5300812479653347,0.585083279164468
30,0,0.768,0.232,0.746,0.254,,0.5500002011772669,0.6050001989665277,,0.768,0.232,0.746,0.254,,0.5500487487792008,0.6050499674986808
