Simulation results - daily sums,,,,,,,,,,,,,,,,
Dwelling index,Date,Mean active occupancy,Proportion of day actively occupied,Lighting demand,Appliance demand,PV output,Total dwelling electricity demand,Total self-consumption,Net dwelling electricity demand,Hot water demand (litres),Average indoor air temperature,Thermal energy used for space heating,Thermal energy used for hot water heating,Gas demand,Space thermostat set point,Solar thermal collector heat gains
,,,,Elight,Ea,Epv,Etotal,Eself,Enet,,θi,"Eh, space","Eh, water",mfuel,,
,,,,kWh,kWh,kWh,kWh,kWh,kWh,litres/day,°C,kWh,kWh,m3/day,°C,kWh
1,2015-01-01 00:00:00,0.2916666666666667,0.2916666666666667,2.78995,6.08465,2.071478699969647,8.874600000000001,0.9565524855530052,6.803121300030354,23,17.592636435700353,70.3230882454428,0,8.438770589453165,20,0
2,2015-01-01 00:00:00,0.5486111111111112,0.5486111111111112,1.5178,8.86615,2.071478699969647,10.383949999999999,1.6158252505824096,8.312471300030348,29,13.173880968008639,0,0,0,13,1.9730312014229268
3,2015-01-01 00:00:00,0.9652777777777778,0.6805555555555556,1.8131166666666667,8.626566666666667,2.071478699969647,10.439683333333335,1.5241855737507128,8.368204633363682,119,18.522540856271796,44.86409670573391,3.3940650677634854,5.790979412819709,21,0
4,2015-01-01 00:00:00,1.1458333333333333,0.625,3.9584166666666665,13.68615,2.071478699969647,17.644566666666666,1.3859435561388491,15.573087966697019,235.99999999999994,19.147985384961867,3.48958640754969,7.648905638069128,1.3366190454742586,20,2.0999444573042183
5,2015-01-01 00:00:00,0.5902777777777778,0.4444444444444444,2.427983333333333,7.8791,2.071478699969647,10.307083333333333,1.5306316382856309,8.235604633363687,81,19.07398637565595,26.44160331905883,1.9555890139848118,3.4076630799652396,25,2.0013689855960983
