Simulation results - aggregated,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Occupancy (normalised),Activity (normalised),Total electricity demand,Total PV output,Total net electricity demand,Thermal demand for space heating,Thermal demand for hot water,Passive solar gains,Average internal building node temperature,Hot water demand (litres),Average hot water temperature in hot water tank,Space heating timer state (normalised),Space heating thermostat state (normalised),Hot water timer state (normalised),Hot water thermostat state (normalised),Fuel flow rate (gas),Solar thermal collector gains,Self-consumption,Average hot water demand,Average gas demand,Space cooling timer state (normalised),Space cooling thermostat state (normalised),Average heating thermostat set point,Average cooling thermostat set point,Electricity used in heating or cooling
,,,,Pe,Ppv,Pnet,φspace,φwater,φs,θi,,θcyl,,,,,mfuel,,Pself,,,,,,,
,,,,kW,kW,kW,kW,kW,W,°C,ltr.min-1,°C,,,,,m3/h,kW,kW,ltr.min-1,m3/h,,,°C,°C,kW
,0.17430555555555555,0.9166666666666666,0.027777777777777776,2.21,0,2.21,21.6819120973256,0.14080100384413494,0,15.168162193724786,0,59.08024240137431,0.1,1,0.1,0.1,2.6187255721403684,0,0,0,0.13093627860701842,0,0,,,
,0.175,0.9166666666666666,0.027777777777777776,2.22,0,2.22,43.43201769481886,0.14073647206405832,0,15.167232530636019,0,59.07351882460766,0.15,1,0.15,0.1,5.22873050002595,0,0,0,0.2614365250012975,0,0,,,
,0.17569444444444443,0.9166666666666666,0.027777777777777776,2.046,0,2.046,65.18223654876151,0.14055698752322596,0,15.170866478545284,0,59.06679521545739,0.2,1,0.2,0.1,7.838735224354167,0,0,0,0.3919367612177084,0,0,,,
,0.1763888888888889,0.9166666666666666,0.027777777777777776,2.046,0,2.046,65.1825594933681,0.14027185233558503,0,15.182495086869428,0,59.0600717525444,0.2,1,0.2,0.1,7.838739761484444,0,0,0,0.39193698807422217,0,0,,,
,0.17708333333333334,0.9166666666666666,0.027777777777777776,2.15,0,2.15,60.47522799298802,0.1398897805108823,0,15.202105094243771,0,59.05334925243322,0.2,1,0.2,0.1,7.273814132819869,0,0,0,0.36369070664099346,0,0,,,
,0.17777777777777778,0.9166666666666666,0.027777777777777776,2.15,0,2.15,43.49999999999999,0.1394189127083532,0,15.227592001513955,0,59.046628575793,0.2,1,0.2,0.1,5.236730269525003,0,0,0,0.26183651347625014,0,0,,,
,0.17847222222222223,0.9166666666666666,0.027777777777777776,2.15,0,2.15,43.49999999999999,0.13889398484890458,0,15.25527902287807,1,59.020565452404036,0.2,1,0.2,0.1,5.2366672781818675,0,0,0.05,0.2618333639090934,0,0,,,
,0.17916666666666667,0.9166666666666666,0.027777777777777776,2.15,0,2.15,43.49999999999999,0.13841738467998316,0,15.28506687633811,0,59.01385378835714,0.2,1,0.2,0.1,5.236610086161598,0,0,0,0.26183050430807986,0,0,,,
,0.1798611111111111,0.9166666666666666,0.027777777777777776,1.982,0,1.982,27.415099250627584,0.13798431913108034,0,15.31578838970383,0,59.007145906710115,0.2,1,0.2,0.1,3.3063700283710404,0,0,0,0.16531850141855203,0,0,,,
,0.18055555555555555,0.9166666666666666,0.027777777777777776,2.141,0,2.141,0,0.1375919143025958,0,15.347489408800925,0,59.0004421992175,0.15,1,0.1,0.1,0.0165110297163115,0,0,0,0.0008255514858155749,0,0,,,
,0.18125,0.9166666666666666,0.027777777777777776,2.143,0,2.143,0,0.13723743639982394,0,15.37573464287918,0,58.99374304980429,0.15,1,0.1,0.1,0.01646849236797887,0,0,0,0.0008234246183989435,0,0,,,
,0.18194444444444444,0.9166666666666666,0.027777777777777776,2.024,0,2.024,0,0.13691834322740026,0,15.400819890084566,0,58.987048067467256,0.15,1,0.1,0.1,0.016430201187288038,0,0,0,0.0008215100593644019,0,0,,,
,0.18263888888888888,0.9166666666666666,0.027777777777777776,2.024,0,2.024,0,0.13663223820132692,0,15.423300943076677,0,58.98035689828371,0.15,1,0.1,0.1,0.016395868584159232,0,0,0,0.0008197934292079616,0,0,,,
,0.18333333333333332,0.9166666666666666,0.027777777777777776,2.024,0,2.024,0,0.13637689248828314,0,15.44332692945217,0,58.97366927093418,0.15,1,0.1,0.1,0.01636522709859398,0,0,0,0.0008182613549296989,0,0,,,
,0.1840277777777778,0.9166666666666666,0.027777777777777776,1.934,0,1.934,0,0.13615021298494714,0,15.460496109833173,0,58.96698492774984,0.15,1,0.1,0.1,0.016338025558193657,0,0,0,0.0008169012779096829,0,0,,,
